Время[с],Напряжение[В]
0.0006,1.9223
0.0013,1.9223
0.0019,1.9148
0.0025,1.9223
0.0032,1.9223
0.0038,1.9223
0.0045,1.9148
0.0052,1.9223
0.0058,1.9223
0.0075,1.9223
0.0082,1.9260
0.0088,1.9186
0.0095,1.9223
0.0101,1.9223
0.0108,1.9223
0.0114,1.9223
0.0120,1.9223
0.0127,1.9223
0.0133,1.9223
0.0140,1.9223
0.0146,1.9223
0.0152,1.9223
0.0159,1.9223
0.0166,1.9186
0.0172,1.9223
0.0179,1.9223
0.0185,1.9186
0.0192,1.9223
0.0199,1.9186
0.0205,1.9223
0.0211,1.9223
0.0218,1.9186
0.0224,1.9223
0.0230,1.9186
0.0237,1.9186
0.0244,1.9148
0.0250,1.9148
0.0256,1.9223
0.0267,1.9148
0.0274,1.9223
0.0282,1.9223
0.0290,1.9223
0.0298,1.9186
0.0306,1.9223
0.0313,1.9223
0.0320,1.9148
0.0328,1.9223
0.0335,1.9148
0.0342,1.9223
0.0349,1.9186
0.0356,1.9148
0.0363,1.9223
0.0370,1.9148
0.0377,1.9148
0.0384,1.9186
0.0391,1.9186
0.0398,1.9223
0.0406,1.9223
0.0413,1.9223
0.0421,1.9148
0.0428,1.9223
0.0436,1.9223
0.0443,1.9223
0.0451,1.9260
0.0458,1.9260
0.0465,1.9148
0.0472,1.9186
0.0480,1.9260
0.0487,1.9223
0.0495,1.9148
0.0501,1.9148
0.0508,1.9223
0.0515,1.9148
0.0523,1.9223
0.0530,1.9186
0.0537,1.9186
0.0544,1.9148
0.0551,1.9111
0.0559,1.9186
0.0567,1.9260
0.0575,1.9186
0.0582,1.9260
0.0590,1.9148
0.0598,1.9223
0.0605,1.9186
0.0612,1.9111
0.0619,1.9148
0.0627,1.9186
0.0635,1.9223
0.0643,1.9186
0.0651,1.9260
0.0658,1.9223
0.0666,1.9148
0.0674,1.9223
0.0682,1.9223
0.0689,1.9223
0.0697,1.9223
0.0704,1.9260
0.0711,1.9223
0.0718,1.9223
0.0725,1.9148
0.0732,1.9223
0.0739,1.9223
0.0746,1.9223
0.0754,1.9223
0.0761,1.9186
0.0771,1.9260
0.0780,1.9148
0.0788,1.9223
0.0796,1.9223
0.0803,1.9186
0.0809,1.9223
0.0816,1.9223
0.0821,1.9260
0.0828,1.9223
0.0834,1.9223
0.0840,1.9260
0.0845,1.9223
0.0851,1.9223
0.0857,1.9223
0.0863,1.9186
0.0869,1.9223
0.0874,1.9223
0.0880,1.9223
0.0885,1.9260
0.0891,1.9223
0.0897,1.9186
0.0902,1.9223
0.0908,1.9223
0.0913,1.9223
0.0919,1.9148
0.0926,1.9111
0.0933,1.9223
0.0939,1.9186
0.0945,1.9223
0.0952,1.9223
0.0958,1.9223
0.0965,1.9223
0.0971,1.9186
0.0977,1.9260
0.0984,1.9148
0.0991,1.9148
0.0997,1.9223
0.1004,1.9186
0.1011,1.9223
0.1017,1.9260
0.1024,1.9223
0.1031,1.9223
0.1038,1.9223
0.1045,1.9223
0.1052,1.9223
0.1058,1.9148
0.1065,1.9148
0.1072,1.9186
0.1079,1.9148
0.1085,1.9148
0.1092,1.9186
0.1099,1.9223
0.1105,1.9148
0.1112,1.9186
0.1119,1.9223
0.1126,1.9186
0.1132,1.9223
0.1138,1.9223
0.1145,1.9148
0.1151,1.9260
0.1158,1.9223
0.1165,1.9223
0.1172,1.9148
0.1178,1.9223
0.1184,1.9148
0.1191,1.9223
0.1197,1.9260
0.1204,1.9186
0.1210,1.9148
0.1217,1.9223
0.1223,1.9223
0.1230,1.9223
0.1237,1.9223
0.1244,1.9186
0.1251,1.9260
0.1258,1.9148
0.1265,1.9186
0.1271,1.9223
0.1278,1.9223
0.1285,1.9148
0.1291,1.9223
0.1298,1.9223
0.1304,1.9148
0.1311,1.9148
0.1318,1.9148
0.1324,1.9223
0.1330,1.9223
0.1337,1.9186
0.1343,1.9223
0.1350,1.9223
0.1356,1.9260
0.1363,1.9260
0.1369,1.9260
0.1375,1.9148
0.1382,1.9260
0.1388,1.9186
0.1394,1.9223
0.1400,1.9148
0.1407,1.9223
0.1413,1.9223
0.1420,1.9223
0.1426,1.9148
0.1434,1.9223
0.1440,1.9223
0.1447,1.9260
0.1453,1.9223
0.1460,1.9223
0.1467,1.9223
0.1474,1.9223
0.1480,1.9148
0.1487,1.9260
0.1493,1.9111
