Время[с],Напряжение[В]
0.0007,1.7033
0.0013,1.7070
0.0020,1.7070
0.0027,1.7033
0.0034,1.7033
0.0041,1.7070
0.0048,1.7070
0.0058,1.7070
0.0065,1.7033
0.0073,1.7070
0.0081,1.7070
0.0089,1.6996
0.0096,1.7033
0.0104,1.7070
0.0112,1.7070
0.0119,1.7070
0.0127,1.7070
0.0135,1.7070
0.0142,1.7070
0.0149,1.7070
0.0156,1.7070
0.0163,1.7033
0.0171,1.7070
0.0178,1.7070
0.0185,1.7070
0.0193,1.7070
0.0200,1.7107
0.0207,1.7070
0.0230,1.7107
0.0238,1.6996
0.0245,1.7070
0.0252,1.7070
0.0259,1.7107
0.0266,1.7070
0.0273,1.7033
0.0281,1.7033
0.0288,1.7070
0.0296,1.7070
0.0304,1.7070
0.0311,1.6996
0.0319,1.7070
0.0326,1.7033
0.0333,1.6996
0.0341,1.7070
0.0348,1.7033
0.0355,1.7070
0.0363,1.7070
0.0371,1.7070
0.0378,1.7033
0.0385,1.7070
0.0392,1.7070
0.0400,1.7070
0.0407,1.6959
0.0415,1.7070
0.0422,1.7070
0.0429,1.6996
0.0437,1.7070
0.0444,1.7070
0.0451,1.7070
0.0459,1.7107
0.0466,1.6996
0.0474,1.7070
0.0481,1.7070
0.0488,1.7070
0.0495,1.7070
0.0502,1.6996
0.0509,1.7070
0.0516,1.7070
0.0524,1.7070
0.0531,1.6959
0.0539,1.7070
0.0546,1.6996
0.0553,1.7033
0.0561,1.7033
0.0568,1.7107
0.0576,1.7070
0.0583,1.7070
0.0591,1.7070
0.0598,1.7070
0.0605,1.7070
0.0613,1.7107
0.0620,1.6996
0.0627,1.6996
0.0634,1.7107
0.0640,1.7070
0.0647,1.7107
0.0654,1.7070
0.0661,1.7033
0.0668,1.6996
0.0675,1.6996
0.0681,1.7070
0.0688,1.6996
0.0695,1.7070
0.0702,1.7070
0.0710,1.7033
0.0718,1.7070
0.0725,1.7070
0.0733,1.7070
0.0740,1.7070
0.0748,1.7070
0.0755,1.6996
0.0761,1.7070
0.0766,1.7107
0.0772,1.7107
0.0778,1.7107
0.0784,1.7033
0.0790,1.7070
0.0796,1.7070
0.0802,1.7033
0.0808,1.6996
0.0814,1.7070
0.0819,1.7070
0.0826,1.6996
0.0832,1.7033
0.0838,1.7070
0.0844,1.7070
0.0850,1.7070
0.0856,1.7070
0.0862,1.7070
0.0868,1.7033
0.0874,1.7107
0.0881,1.7070
0.0888,1.7070
0.0894,1.7070
0.0901,1.7070
0.0908,1.7107
0.0915,1.7107
0.0921,1.6959
0.0928,1.7107
0.0935,1.7033
0.0942,1.7070
0.0949,1.7070
0.0956,1.7070
0.0963,1.7070
0.0970,1.7070
0.0977,1.6959
0.0984,1.6996
0.0992,1.7070
0.0999,1.7070
0.1005,1.7033
0.1012,1.6996
0.1019,1.7070
0.1025,1.7070
0.1032,1.7070
0.1038,1.7070
0.1045,1.6959
0.1051,1.6996
0.1058,1.6996
0.1066,1.6996
0.1073,1.7070
0.1080,1.7070
0.1087,1.7033
0.1093,1.7070
0.1099,1.7033
0.1106,1.7070
0.1112,1.7070
0.1118,1.6996
0.1125,1.7033
0.1131,1.7070
0.1138,1.7070
0.1145,1.7070
0.1152,1.7033
0.1160,1.6996
0.1167,1.7070
0.1173,1.7070
0.1180,1.7070
0.1186,1.7070
0.1193,1.7070
0.1201,1.7070
0.1207,1.7070
0.1214,1.7033
0.1221,1.6996
0.1228,1.7070
0.1235,1.7033
0.1243,1.6996
0.1250,1.7070
0.1257,1.7033
0.1264,1.7070
0.1272,1.7070
0.1279,1.7070
0.1286,1.7070
0.1292,1.7033
0.1298,1.7070
0.1305,1.6996
0.1311,1.6996
0.1317,1.7107
0.1324,1.7070
0.1331,1.7070
0.1338,1.7033
0.1345,1.7070
0.1351,1.6996
0.1357,1.7070
0.1364,1.7033
0.1372,1.7070
0.1379,1.6996
0.1385,1.7070
0.1392,1.7033
0.1398,1.6996
0.1405,1.7070
0.1413,1.7070
0.1420,1.6996
0.1427,1.7070
0.1435,1.7033
0.1442,1.7070
0.1449,1.7033
0.1457,1.7033
0.1464,1.7033
0.1471,1.7070
0.1478,1.7070
0.1484,1.6996
0.1491,1.7070
0.1498,1.7070
0.1505,1.7033
0.1511,1.7070
0.1518,1.7070
0.1525,1.7107
0.1531,1.7070
0.1538,1.7070
0.1544,1.7070
0.1551,1.7070
0.1558,1.6996
0.1565,1.7033
0.1572,1.6996
0.1579,1.7070
0.1587,1.7033
0.1594,1.7070
0.1601,1.7033
0.1609,1.7033
0.1616,1.7070
0.1623,1.7033
0.1629,1.6996
0.1636,1.7033
0.1642,1.7033
0.1648,1.7033
0.1655,1.7070
0.1661,1.7070
0.1668,1.7070
0.1674,1.6959
0.1680,1.7033
0.1687,1.7070
0.1693,1.7070
0.1699,1.7070
0.1707,1.7070
0.1714,1.7070
0.1721,1.7033
0.1728,1.7070
0.1735,1.7107
0.1742,1.7033
0.1750,1.7070
0.1757,1.6959
0.1764,1.7107
0.1771,1.6996
0.1778,1.6996
0.1784,1.6959
0.1790,1.7033
0.1796,1.7107
0.1803,1.7070
0.1809,1.7070
0.1815,1.7033
0.1822,1.7070
0.1828,1.6996
0.1835,1.7070
0.1842,1.6996
0.1848,1.6996
0.1855,1.7033
0.1862,1.7107
0.1869,1.7070
0.1876,1.7070
0.1883,1.7033
0.1891,1.7033
0.1900,1.7107
0.1908,1.6996
0.1918,1.7070
0.1925,1.7033
0.1933,1.7033
0.1941,1.7070
0.1949,1.7070
0.1957,1.7070
0.1965,1.7070
0.1973,1.7033
0.1980,1.7070
0.1988,1.7033
0.1996,1.6996
0.2003,1.7033
0.2011,1.6996
0.2018,1.7070
0.2025,1.7070
0.2033,1.7033
0.2041,1.7070
0.2048,1.7070
0.2056,1.7107
0.2064,1.7070
0.2071,1.7033
0.2079,1.7033
0.2087,1.7070
0.2095,1.7033
0.2103,1.6996
0.2110,1.6996
0.2117,1.7033
0.2125,1.7070
0.2132,1.7070
0.2139,1.7070
