Время[с],Напряжение[В]
0.0006,1.9074
0.0013,1.9074
0.0019,1.9074
0.0025,1.9074
0.0031,1.9074
0.0038,1.9074
0.0045,1.9037
0.0051,1.9074
0.0057,1.9074
0.0064,1.9000
0.0071,1.9074
0.0078,1.9074
0.0085,1.9074
0.0092,1.9074
0.0099,1.9000
0.0106,1.9074
0.0113,1.9000
0.0120,1.9074
0.0127,1.9037
0.0134,1.9074
0.0141,1.9074
0.0148,1.9111
0.0154,1.9074
0.0161,1.9111
0.0168,1.9037
0.0175,1.9037
0.0181,1.9000
0.0188,1.9074
0.0195,1.9000
0.0201,1.9074
0.0208,1.9074
0.0214,1.9074
0.0221,1.9074
0.0228,1.9074
0.0235,1.9074
0.0243,1.9074
0.0249,1.9074
0.0257,1.9074
0.0265,1.9037
0.0272,1.9074
0.0279,1.9074
0.0285,1.9000
0.0293,1.9074
0.0300,1.9000
0.0307,1.9000
0.0314,1.9074
0.0321,1.9000
0.0328,1.9074
0.0335,1.9074
0.0356,1.9074
0.0364,1.9037
0.0373,1.9037
0.0380,1.9000
0.0388,1.9037
0.0395,1.9000
0.0402,1.9037
0.0409,1.9000
0.0416,1.9000
0.0423,1.9000
0.0430,1.9000
0.0438,1.9074
0.0445,1.9000
0.0452,1.9000
0.0459,1.9037
0.0466,1.9000
0.0474,1.9037
0.0482,1.9074
0.0489,1.9037
0.0496,1.9037
0.0504,1.9037
0.0511,1.9037
0.0518,1.9037
0.0525,1.9037
0.0532,1.9000
0.0539,1.9037
0.0547,1.9000
0.0554,1.9037
0.0562,1.9074
0.0570,1.9000
0.0578,1.9000
0.0585,1.9074
0.0593,1.9037
0.0599,1.9037
0.0606,1.9037
0.0613,1.9074
0.0620,1.9037
0.0627,1.9074
0.0635,1.9000
0.0642,1.9037
0.0649,1.9037
0.0655,1.9037
0.0662,1.9000
0.0669,1.9037
0.0675,1.9000
0.0682,1.9037
0.0689,1.9000
0.0696,1.9074
0.0703,1.9000
0.0709,1.9074
0.0716,1.9037
0.0723,1.9000
0.0732,1.9037
0.0740,1.9000
0.0747,1.9000
0.0754,1.9074
0.0761,1.9037
0.0769,1.9000
0.0775,1.9000
0.0782,1.9037
0.0788,1.9037
0.0794,1.9000
0.0800,1.9037
0.0806,1.9000
0.0813,1.9000
0.0819,1.9037
0.0825,1.9000
0.0831,1.9037
0.0837,1.9037
0.0842,1.9037
0.0848,1.9000
0.0854,1.9037
0.0860,1.9037
0.0866,1.9000
0.0872,1.9000
0.0878,1.9000
0.0884,1.9000
0.0890,1.9037
0.0896,1.9037
0.0902,1.9000
0.0908,1.9000
0.0914,1.9000
0.0920,1.9000
0.0925,1.9074
0.0932,1.9000
0.0939,1.9000
0.0945,1.9000
0.0952,1.9037
0.0959,1.9000
0.0966,1.9037
0.0973,1.9000
0.0980,1.8963
0.0986,1.9000
0.0993,1.9037
0.1000,1.9000
0.1007,1.9000
0.1013,1.9000
0.1020,1.9000
0.1026,1.8963
0.1033,1.9000
0.1039,1.9000
0.1046,1.9000
0.1053,1.9000
0.1059,1.9000
0.1066,1.9000
0.1072,1.9000
0.1079,1.9000
0.1085,1.9000
0.1091,1.9000
0.1098,1.9037
0.1104,1.8963
0.1111,1.9000
0.1117,1.9000
0.1124,1.8963
0.1131,1.9000
0.1138,1.9000
0.1144,1.9000
0.1151,1.9037
0.1158,1.9000
0.1165,1.9000
0.1173,1.9000
0.1180,1.9000
0.1187,1.9000
0.1193,1.9000
0.1200,1.9037
0.1206,1.9037
0.1212,1.8963
0.1219,1.9000
0.1225,1.8926
0.1231,1.8963
0.1238,1.9037
0.1245,1.9000
0.1252,1.9000
0.1258,1.9000
0.1265,1.8926
0.1271,1.9037
0.1278,1.8963
0.1284,1.8926
0.1291,1.9000
0.1298,1.9000
0.1304,1.9000
0.1311,1.8963
0.1317,1.8963
0.1324,1.8963
0.1331,1.8963
0.1337,1.8963
0.1343,1.8926
0.1350,1.8963
0.1356,1.8926
0.1363,1.8963
0.1369,1.9000
0.1376,1.8963
0.1382,1.8926
0.1389,1.8926
0.1395,1.8889
0.1401,1.9000
0.1408,1.9037
0.1414,1.8963
0.1420,1.8889
0.1427,1.8963
0.1433,1.9000
0.1440,1.8963
0.1447,1.8926
0.1455,1.8963
0.1461,1.8963
0.1468,1.9000
0.1475,1.8963
0.1482,1.8963
0.1489,1.8963
0.1496,1.8963
0.1503,1.9037
0.1510,1.8926
0.1517,1.8926
0.1524,1.8963
0.1531,1.8963
0.1538,1.8963
0.1545,1.8963
0.1552,1.8963
0.1559,1.9000
0.1566,1.8926
0.1574,1.8963
0.1580,1.8889
0.1587,1.8963
0.1593,1.8926
0.1599,1.8963
0.1606,1.8963
0.1612,1.8889
0.1619,1.8926
0.1626,1.8889
0.1633,1.8926
0.1639,1.8963
0.1646,1.8963
0.1653,1.9000
0.1659,1.8963
0.1667,1.8963
0.1674,1.9000
0.1681,1.8889
0.1688,1.8963
0.1695,1.8963
0.1702,1.8963
0.1709,1.8852
0.1715,1.8963
0.1722,1.8963
0.1728,1.8852
0.1735,1.8926
0.1741,1.8963
0.1747,1.8963
0.1754,1.8963
0.1760,1.8963
0.1768,1.8889
0.1775,1.8889
0.1782,1.8963
0.1790,1.8963
0.1797,1.8963
0.1803,1.8963
0.1809,1.8963
0.1816,1.8963
0.1824,1.8926
