Время[с],Напряжение[В]
0.0007,1.9111
0.0013,1.9111
0.0019,1.9111
0.0026,1.9037
0.0033,1.9111
0.0039,1.9074
0.0046,1.9148
0.0053,1.9074
0.0060,1.9111
0.0068,1.9111
0.0075,1.9111
0.0083,1.9148
0.0090,1.9148
0.0098,1.9037
0.0104,1.9111
0.0112,1.9037
0.0118,1.9111
0.0125,1.9111
0.0131,1.9111
0.0138,1.9148
0.0144,1.9037
0.0151,1.9111
0.0157,1.9111
0.0164,1.9074
0.0170,1.9111
0.0178,1.9037
0.0185,1.9111
0.0191,1.9111
0.0197,1.9037
0.0204,1.9074
0.0210,1.9148
0.0216,1.9111
0.0223,1.9111
0.0230,1.9037
0.0241,1.9037
0.0250,1.9074
0.0257,1.9111
0.0265,1.9111
0.0272,1.9074
0.0279,1.9074
0.0286,1.9111
0.0294,1.9111
0.0301,1.9111
0.0309,1.9111
0.0316,1.9111
0.0324,1.9037
0.0331,1.9111
0.0338,1.9111
0.0345,1.9074
0.0352,1.9111
0.0359,1.9074
0.0366,1.9000
0.0373,1.9111
0.0380,1.9111
0.0387,1.9074
0.0395,1.9111
0.0402,1.9074
0.0410,1.9111
0.0417,1.9111
0.0424,1.9037
0.0432,1.9111
0.0439,1.9111
0.0446,1.9111
0.0453,1.9074
0.0460,1.9074
0.0467,1.9074
0.0475,1.9074
0.0482,1.9074
0.0489,1.9037
0.0496,1.9074
0.0503,1.9111
0.0509,1.9074
0.0515,1.9074
0.0522,1.9074
0.0530,1.9074
0.0537,1.9111
0.0545,1.9074
0.0553,1.9074
0.0560,1.9074
0.0567,1.9074
0.0575,1.9074
0.0582,1.9111
0.0589,1.9111
0.0596,1.9074
0.0603,1.9074
0.0610,1.9074
0.0617,1.9074
0.0626,1.9074
0.0635,1.9111
0.0643,1.9074
0.0651,1.9037
0.0658,1.9074
0.0666,1.9037
0.0672,1.9074
0.0679,1.9000
0.0685,1.9074
0.0691,1.9074
0.0697,1.9074
0.0704,1.9074
0.0710,1.9074
0.0716,1.9074
0.0722,1.9037
0.0728,1.9074
0.0734,1.9037
0.0740,1.9111
0.0746,1.9074
0.0753,1.9074
0.0759,1.9000
0.0766,1.9074
0.0773,1.9074
0.0779,1.9074
0.0785,1.9074
0.0791,1.9037
0.0798,1.9037
0.0804,1.9074
0.0810,1.9074
0.0816,1.9000
0.0823,1.9000
0.0829,1.9037
0.0835,1.9000
0.0841,1.9074
0.0847,1.9037
0.0854,1.9000
0.0861,1.9074
0.0868,1.9074
0.0875,1.9037
0.0883,1.9037
0.0890,1.9037
0.0897,1.9000
0.0904,1.9000
0.0912,1.9074
0.0919,1.9000
0.0926,1.9074
0.0933,1.9074
0.0940,1.9037
0.0947,1.9000
0.0953,1.9000
0.0960,1.9037
0.0967,1.9000
0.0973,1.9037
0.0980,1.9037
0.0986,1.9074
0.0993,1.9000
0.1000,1.9037
0.1007,1.9037
0.1014,1.9037
0.1021,1.9037
0.1029,1.9037
0.1036,1.9037
0.1043,1.9037
0.1051,1.9074
0.1058,1.9037
0.1065,1.9074
0.1072,1.9037
0.1079,1.9037
0.1085,1.9037
0.1092,1.9074
0.1100,1.9037
0.1106,1.9037
0.1113,1.9074
0.1119,1.9037
0.1126,1.9037
0.1133,1.9037
0.1139,1.9000
0.1146,1.9037
0.1154,1.9000
0.1161,1.9037
0.1168,1.9037
0.1175,1.9000
0.1182,1.9037
0.1190,1.9000
0.1197,1.9037
0.1204,1.9037
0.1210,1.9000
0.1217,1.9037
0.1223,1.9000
0.1230,1.9037
0.1236,1.9074
0.1243,1.9074
0.1250,1.9000
0.1256,1.9037
0.1263,1.9037
0.1270,1.9037
0.1277,1.9037
0.1285,1.9000
0.1292,1.9000
0.1300,1.9037
0.1307,1.9037
0.1314,1.9037
0.1322,1.9000
0.1329,1.9000
0.1336,1.9037
0.1344,1.9000
0.1351,1.9000
0.1358,1.9037
0.1365,1.9000
0.1372,1.9037
0.1379,1.9000
0.1385,1.9037
0.1392,1.9000
0.1399,1.8926
0.1406,1.9000
0.1413,1.9037
0.1420,1.9037
0.1427,1.9000
0.1434,1.9000
0.1441,1.9037
0.1447,1.8963
0.1454,1.9000
0.1461,1.9037
0.1468,1.9000
0.1475,1.9000
0.1483,1.9000
0.1490,1.9037
0.1497,1.8926
0.1505,1.9000
0.1512,1.9000
0.1519,1.9000
0.1527,1.9000
0.1534,1.9000
0.1542,1.8926
0.1549,1.9037
0.1556,1.9000
0.1563,1.9037
0.1570,1.8963
0.1577,1.9000
0.1585,1.9000
0.1592,1.8963
0.1598,1.8963
0.1606,1.9000
0.1612,1.9000
0.1619,1.9000
0.1626,1.9037
0.1634,1.9037
0.1640,1.8963
0.1647,1.8963
0.1654,1.9000
0.1662,1.8963
0.1671,1.8963
0.1681,1.8963
0.1691,1.9000
0.1702,1.8963
0.1714,1.8963
0.1722,1.8926
0.1730,1.8963
0.1737,1.8963
0.1746,1.8963
0.1754,1.8963
0.1762,1.8963
0.1770,1.8963
0.1778,1.8963
0.1785,1.9037
0.1793,1.8963
0.1801,1.8926
0.1809,1.8926
0.1818,1.8963
0.1826,1.8963
0.1834,1.8926
0.1842,1.8926
0.1850,1.8963
0.1858,1.8963
0.1866,1.8963
0.1874,1.8963
0.1882,1.8963
0.1890,1.8963
0.1898,1.8889
0.1907,1.8963
0.1916,1.8963
0.1925,1.8963
0.1933,1.8926
0.1941,1.8963
0.1949,1.8963
0.1956,1.8963
0.1964,1.8963
0.1972,1.8926
0.1980,1.8963
0.1987,1.8926
0.1995,1.8926
0.2003,1.8963
0.2013,1.8963
0.2020,1.8889
0.2028,1.8963
0.2037,1.8889
0.2045,1.8926
0.2054,1.8926
0.2064,1.8963
0.2075,1.8963
0.2084,1.8963
0.2093,1.8963
0.2102,1.8963
0.2111,1.8889
0.2120,1.8963
0.2128,1.8926
0.2137,1.8963
0.2147,1.8963
0.2156,1.8926
0.2163,1.8963
0.2171,1.8963
0.2179,1.8963
0.2188,1.8926
0.2196,1.8963
