Время[с],Напряжение[В]
0.0006,1.6922
0.0012,1.6922
0.0019,1.6922
0.0025,1.6959
0.0032,1.6922
0.0038,1.6922
0.0046,1.6922
0.0055,1.6922
0.0063,1.6885
0.0074,1.6922
0.0082,1.6922
0.0090,1.6922
0.0098,1.6885
0.0105,1.6959
0.0112,1.6922
0.0120,1.6885
0.0134,1.6922
0.0142,1.6885
0.0149,1.6922
0.0156,1.6922
0.0164,1.6922
0.0171,1.6885
0.0178,1.6922
0.0186,1.6922
0.0195,1.6959
0.0203,1.6922
0.0212,1.6885
0.0219,1.6885
0.0227,1.6922
0.0234,1.6922
0.0241,1.6922
0.0249,1.6922
0.0255,1.6885
0.0263,1.6848
0.0270,1.6959
0.0277,1.6922
0.0284,1.6959
0.0292,1.6922
0.0299,1.6848
0.0307,1.6922
0.0315,1.6885
0.0322,1.6959
0.0330,1.6885
0.0338,1.6922
0.0346,1.6922
0.0353,1.6848
0.0360,1.6922
0.0368,1.6922
0.0375,1.6922
0.0382,1.6885
0.0389,1.6959
0.0396,1.6885
0.0403,1.6922
0.0410,1.6922
0.0420,1.6922
0.0429,1.6848
0.0437,1.6959
0.0445,1.6922
0.0452,1.6885
0.0459,1.6922
0.0465,1.6922
0.0471,1.6922
0.0477,1.6885
0.0483,1.6848
0.0489,1.6959
0.0495,1.6922
0.0500,1.6885
0.0507,1.6922
0.0512,1.6922
0.0518,1.6922
0.0524,1.6922
0.0530,1.6959
0.0535,1.6885
0.0542,1.6848
0.0548,1.6848
0.0554,1.6922
0.0561,1.6848
0.0567,1.6922
0.0573,1.6922
0.0580,1.6959
0.0586,1.6922
0.0592,1.6959
0.0599,1.6922
0.0605,1.6885
0.0611,1.6848
0.0618,1.6885
0.0625,1.6959
0.0631,1.6885
0.0638,1.6885
0.0644,1.6885
0.0650,1.6922
0.0656,1.6885
0.0663,1.6922
0.0670,1.6885
0.0678,1.6959
0.0685,1.6885
0.0692,1.6922
0.0699,1.6885
0.0706,1.6959
0.0713,1.6922
0.0719,1.6922
0.0726,1.6922
0.0733,1.6848
0.0740,1.6922
0.0747,1.6848
0.0753,1.6922
0.0760,1.6848
0.0767,1.6885
0.0774,1.6848
0.0781,1.6922
0.0788,1.6848
0.0795,1.6922
0.0801,1.6922
0.0808,1.6922
0.0815,1.6848
0.0822,1.6922
0.0829,1.6885
0.0836,1.6922
0.0843,1.6922
0.0850,1.6922
0.0857,1.6922
0.0864,1.6922
0.0871,1.6922
0.0878,1.6811
0.0884,1.6922
0.0891,1.6922
0.0899,1.6959
0.0906,1.6885
0.0913,1.6848
0.0920,1.6922
0.0927,1.6885
0.0934,1.6922
0.0941,1.6959
0.0948,1.6885
0.0954,1.6922
0.0961,1.6922
0.0968,1.6959
0.0975,1.6922
0.0982,1.6885
0.0989,1.6848
0.0996,1.6922
0.1003,1.6922
0.1010,1.6885
0.1017,1.6922
0.1024,1.6922
0.1030,1.6922
0.1037,1.6959
0.1045,1.6922
0.1052,1.6922
0.1059,1.6922
0.1066,1.6922
0.1073,1.6885
0.1080,1.6922
0.1087,1.6848
0.1095,1.6922
0.1102,1.6922
0.1109,1.6922
0.1116,1.6922
0.1123,1.6922
0.1130,1.6922
0.1137,1.6922
0.1144,1.6922
0.1151,1.6848
0.1158,1.6922
0.1165,1.6922
0.1172,1.6922
0.1179,1.6848
0.1187,1.6922
0.1194,1.6922
0.1201,1.6922
0.1208,1.6922
0.1215,1.6922
0.1222,1.6848
0.1229,1.6848
0.1236,1.6922
0.1243,1.6885
0.1250,1.6922
0.1258,1.6848
0.1265,1.6885
0.1272,1.6885
0.1279,1.6959
0.1288,1.6885
0.1298,1.6922
0.1306,1.6922
0.1316,1.6922
0.1326,1.6885
0.1336,1.6848
0.1343,1.6922
0.1349,1.6848
0.1357,1.6885
0.1365,1.6922
0.1372,1.6922
0.1380,1.6848
0.1389,1.6922
0.1397,1.6959
0.1405,1.6922
0.1413,1.6922
0.1421,1.6959
0.1429,1.6885
0.1437,1.6885
0.1445,1.6848
0.1453,1.6922
0.1462,1.6922
0.1470,1.6885
0.1478,1.6848
0.1488,1.6885
0.1495,1.6885
0.1503,1.6885
0.1510,1.6811
0.1517,1.6922
0.1524,1.6885
0.1531,1.6922
0.1538,1.6922
0.1546,1.6885
0.1554,1.6885
0.1562,1.6922
0.1571,1.6922
0.1579,1.6885
0.1587,1.6885
0.1596,1.6885
0.1605,1.6959
0.1613,1.6885
0.1621,1.6922
0.1629,1.6885
0.1636,1.6885
0.1644,1.6885
0.1652,1.6922
0.1660,1.6922
0.1669,1.6959
0.1677,1.6885
0.1685,1.6885
0.1693,1.6922
0.1701,1.6885
0.1710,1.6922
0.1718,1.6959
0.1726,1.6922
0.1734,1.6848
0.1742,1.6922
0.1751,1.6848
0.1759,1.6922
0.1768,1.6885
0.1776,1.6885
0.1785,1.6885
0.1793,1.6848
0.1801,1.6885
0.1809,1.6922
0.1816,1.6922
0.1823,1.6848
0.1830,1.6922
0.1838,1.6922
0.1845,1.6922
0.1852,1.6922
0.1860,1.6922
0.1867,1.6885
0.1874,1.6922
0.1881,1.6848
0.1889,1.6922
0.1896,1.6885
0.1903,1.6922
0.1911,1.6848
0.1918,1.6922
0.1926,1.6848
0.1933,1.6922
0.1942,1.6848
0.1951,1.6922
0.1958,1.6848
0.1967,1.6885
0.1976,1.6922
0.1984,1.6885
0.1993,1.6885
0.2003,1.6922
0.2011,1.6922
0.2019,1.6811
0.2027,1.6922
0.2035,1.6885
0.2043,1.6922
0.2051,1.6922
0.2058,1.6922
0.2065,1.6848
0.2071,1.6922
0.2078,1.6885
0.2085,1.6922
0.2092,1.6848
0.2098,1.6848
0.2105,1.6885
0.2111,1.6922
0.2119,1.6922
0.2127,1.6885
0.2136,1.6922
0.2143,1.6848
0.2151,1.6848
0.2158,1.6885
0.2165,1.6885
0.2172,1.6885
0.2179,1.6885
0.2188,1.6922
0.2196,1.6922
0.2203,1.6848
0.2211,1.6848
0.2217,1.6922
0.2224,1.6848
0.2230,1.6848
0.2236,1.6922
0.2242,1.6885
0.2248,1.6848
0.2254,1.6885
0.2260,1.6922
0.2266,1.6922
0.2272,1.6922
0.2279,1.6848
0.2285,1.6848
0.2291,1.6922
0.2297,1.6885
0.2303,1.6922
0.2309,1.6848
0.2315,1.6885
0.2321,1.6922
0.2327,1.6885
0.2333,1.6885
0.2339,1.6922
0.2345,1.6848
0.2352,1.6885
0.2359,1.6922
0.2367,1.6922
0.2374,1.6885
0.2380,1.6885
0.2387,1.6922
0.2393,1.6959
0.2400,1.6885
0.2407,1.6811
0.2415,1.6922
0.2422,1.6922
0.2428,1.6885
0.2435,1.6922
0.2441,1.6922
0.2448,1.6959
0.2455,1.6848
0.2462,1.6922
0.2469,1.6959
0.2476,1.6922
0.2482,1.6922
0.2489,1.6885
0.2496,1.6885
0.2502,1.6848
0.2509,1.6922
0.2515,1.6922
0.2522,1.6848
0.2528,1.6959
0.2535,1.6922
