Время[с],Напряжение[В]
0.0007,1.7553
0.0014,1.7590
0.0021,1.7590
0.0029,1.7590
0.0036,1.7553
0.0043,1.7590
0.0049,1.7553
0.0056,1.7553
0.0063,1.7553
0.0070,1.7553
0.0077,1.7553
0.0084,1.7516
0.0091,1.7627
0.0098,1.7590
0.0106,1.7590
0.0113,1.7590
0.0120,1.7516
0.0126,1.7590
0.0133,1.7590
0.0140,1.7590
0.0146,1.7516
0.0153,1.7590
0.0159,1.7590
0.0166,1.7590
0.0173,1.7590
0.0180,1.7590
0.0186,1.7590
0.0193,1.7553
0.0200,1.7553
0.0207,1.7553
0.0214,1.7590
0.0221,1.7553
0.0228,1.7590
0.0235,1.7590
0.0242,1.7590
0.0249,1.7516
0.0256,1.7516
0.0263,1.7553
0.0269,1.7553
0.0276,1.7590
0.0283,1.7590
0.0290,1.7590
0.0300,1.7627
0.0307,1.7553
0.0315,1.7590
0.0323,1.7627
0.0331,1.7590
0.0338,1.7627
0.0346,1.7590
0.0353,1.7590
0.0361,1.7590
0.0369,1.7553
0.0376,1.7553
0.0385,1.7553
0.0392,1.7590
0.0400,1.7516
0.0409,1.7590
0.0416,1.7590
0.0424,1.7553
0.0431,1.7590
0.0438,1.7553
0.0446,1.7590
0.0453,1.7627
0.0460,1.7553
0.0468,1.7627
0.0475,1.7553
0.0482,1.7590
0.0489,1.7590
0.0496,1.7516
0.0503,1.7553
0.0509,1.7590
0.0515,1.7590
0.0522,1.7553
0.0528,1.7590
0.0535,1.7553
0.0542,1.7627
0.0549,1.7590
0.0557,1.7590
0.0564,1.7590
0.0572,1.7553
0.0580,1.7516
0.0588,1.7590
0.0596,1.7590
0.0603,1.7553
0.0610,1.7627
0.0617,1.7553
0.0624,1.7627
0.0630,1.7590
0.0637,1.7590
0.0644,1.7516
0.0650,1.7590
0.0657,1.7627
0.0666,1.7516
0.0674,1.7516
0.0681,1.7590
0.0688,1.7590
0.0695,1.7553
0.0702,1.7590
0.0709,1.7590
0.0716,1.7553
0.0722,1.7516
0.0728,1.7553
0.0733,1.7553
0.0739,1.7516
0.0744,1.7516
0.0750,1.7590
0.0756,1.7553
0.0761,1.7590
0.0767,1.7590
0.0772,1.7590
0.0778,1.7590
0.0784,1.7590
0.0789,1.7590
0.0795,1.7516
0.0801,1.7590
0.0808,1.7553
0.0814,1.7627
0.0820,1.7590
0.0826,1.7590
0.0831,1.7590
0.0837,1.7590
0.0843,1.7590
0.0849,1.7627
0.0855,1.7516
0.0861,1.7590
0.0867,1.7590
0.0873,1.7516
0.0880,1.7553
0.0887,1.7590
0.0893,1.7590
0.0900,1.7590
0.0906,1.7553
0.0913,1.7590
0.0920,1.7516
0.0927,1.7516
0.0933,1.7553
0.0940,1.7516
0.0947,1.7590
0.0953,1.7590
0.0960,1.7590
0.0967,1.7590
0.0974,1.7516
0.0981,1.7553
0.0988,1.7516
0.0996,1.7590
0.1003,1.7590
0.1009,1.7590
0.1016,1.7553
0.1023,1.7590
0.1030,1.7590
0.1037,1.7590
0.1044,1.7590
0.1051,1.7627
0.1058,1.7553
0.1064,1.7553
0.1071,1.7590
0.1078,1.7553
0.1085,1.7627
0.1092,1.7516
0.1099,1.7590
0.1106,1.7516
0.1113,1.7516
0.1120,1.7516
0.1126,1.7590
0.1133,1.7590
0.1140,1.7590
0.1146,1.7590
0.1153,1.7627
0.1160,1.7516
0.1166,1.7590
0.1173,1.7516
0.1180,1.7553
0.1187,1.7590
0.1194,1.7590
0.1201,1.7590
0.1207,1.7590
0.1214,1.7590
0.1221,1.7627
0.1228,1.7590
0.1235,1.7590
0.1242,1.7553
0.1248,1.7590
0.1255,1.7590
0.1262,1.7516
0.1269,1.7590
0.1276,1.7553
0.1283,1.7553
0.1290,1.7516
0.1296,1.7553
0.1303,1.7553
0.1311,1.7590
0.1317,1.7590
0.1324,1.7516
0.1331,1.7590
0.1338,1.7590
0.1345,1.7553
0.1352,1.7553
0.1359,1.7553
0.1366,1.7627
0.1373,1.7590
0.1380,1.7590
0.1387,1.7553
0.1394,1.7516
0.1401,1.7516
0.1408,1.7553
0.1415,1.7590
0.1422,1.7590
0.1429,1.7553
0.1436,1.7590
0.1443,1.7627
0.1450,1.7590
0.1457,1.7590
0.1463,1.7553
0.1471,1.7590
0.1477,1.7627
0.1484,1.7590
0.1491,1.7516
0.1498,1.7516
0.1505,1.7516
0.1512,1.7590
0.1519,1.7590
0.1526,1.7590
0.1533,1.7627
0.1540,1.7590
0.1547,1.7590
0.1554,1.7516
0.1561,1.7553
0.1568,1.7516
0.1575,1.7553
0.1582,1.7590
0.1589,1.7627
0.1596,1.7553
0.1603,1.7553
0.1610,1.7590
0.1617,1.7590
0.1624,1.7553
0.1631,1.7516
0.1638,1.7553
0.1645,1.7590
0.1651,1.7516
0.1658,1.7590
0.1665,1.7516
0.1673,1.7590
0.1681,1.7590
0.1688,1.7590
0.1695,1.7590
0.1702,1.7553
0.1711,1.7590
0.1719,1.7590
0.1728,1.7590
0.1739,1.7590
0.1749,1.7553
0.1756,1.7590
0.1762,1.7516
0.1770,1.7590
0.1778,1.7516
0.1786,1.7590
0.1795,1.7553
0.1802,1.7516
0.1810,1.7590
0.1817,1.7553
0.1824,1.7590
0.1832,1.7590
0.1840,1.7553
0.1848,1.7516
0.1855,1.7590
0.1863,1.7516
0.1871,1.7553
0.1878,1.7516
0.1884,1.7590
0.1891,1.7590
0.1898,1.7553
0.1905,1.7553
0.1913,1.7553
0.1921,1.7516
0.1929,1.7516
0.1936,1.7590
0.1945,1.7590
0.1955,1.7553
0.1964,1.7553
0.1971,1.7553
0.1979,1.7553
0.1987,1.7516
0.1995,1.7590
0.2003,1.7553
0.2011,1.7553
0.2018,1.7553
0.2026,1.7590
0.2035,1.7590
0.2042,1.7590
0.2049,1.7590
0.2056,1.7590
0.2063,1.7590
0.2070,1.7553
0.2076,1.7590
0.2083,1.7590
0.2090,1.7553
0.2097,1.7553
0.2104,1.7553
0.2110,1.7553
0.2118,1.7590
0.2125,1.7590
0.2132,1.7553
0.2140,1.7553
0.2148,1.7627
0.2156,1.7553
0.2165,1.7516
0.2174,1.7516
0.2183,1.7516
0.2191,1.7590
0.2198,1.7553
0.2204,1.7590
0.2211,1.7590
0.2273,1.7590
0.2281,1.7516
0.2291,1.7590
0.2299,1.7553
0.2307,1.7590
0.2316,1.7516
0.2325,1.7590
0.2333,1.7590
0.2342,1.7516
0.2351,1.7590
0.2360,1.7590
0.2369,1.7590
0.2377,1.7516
0.2386,1.7590
0.2394,1.7590
0.2402,1.7590
0.2409,1.7590
0.2417,1.7590
0.2425,1.7516
0.2435,1.7553
0.2445,1.7590
0.2454,1.7516
0.2465,1.7590
0.2474,1.7553
0.2485,1.7590
0.2496,1.7590
0.2505,1.7553
0.2515,1.7627
0.2525,1.7590
0.2535,1.7590
0.2543,1.7590
0.2550,1.7590
0.2558,1.7516
0.2566,1.7590
0.2574,1.7590
0.2582,1.7516
0.2589,1.7590
0.2597,1.7553
0.2605,1.7553
0.2612,1.7590
0.2620,1.7590
0.2627,1.7590
0.2635,1.7590
0.2642,1.7553
0.2650,1.7590
0.2659,1.7590
0.2666,1.7553
0.2674,1.7516
0.2681,1.7590
0.2689,1.7553
0.2696,1.7516
0.2704,1.7516
0.2712,1.7590
0.2719,1.7590
0.2727,1.7516
0.2735,1.7590
0.2743,1.7516
0.2751,1.7590
0.2758,1.7590
0.2766,1.7553
0.2773,1.7553
0.2781,1.7553
0.2789,1.7516
0.2797,1.7516
0.2804,1.7590
0.2813,1.7590
0.2821,1.7590
0.2829,1.7553
0.2837,1.7516
0.2845,1.7590
0.2853,1.7479
0.2861,1.7627
0.2869,1.7590
0.2877,1.7590
0.2885,1.7590
0.2893,1.7590
0.2901,1.7516
0.2908,1.7590
0.2916,1.7553
0.2924,1.7590
0.2932,1.7590
0.2940,1.7590
0.2949,1.7590
0.2958,1.7590
0.2966,1.7590
0.2974,1.7590
0.2982,1.7590
0.2991,1.7553
0.2999,1.7590
0.3007,1.7590
0.3015,1.7516
0.3022,1.7553
0.3030,1.7516
0.3038,1.7553
0.3046,1.7553
0.3053,1.7553
0.3062,1.7516
0.3070,1.7590
0.3079,1.7590
0.3087,1.7590
0.3096,1.7516
0.3104,1.7590
0.3112,1.7553
0.3120,1.7516
0.3128,1.7590
0.3135,1.7590
0.3143,1.7553
0.3150,1.7553
0.3158,1.7553
0.3166,1.7516
0.3173,1.7553
0.3181,1.7553
0.3189,1.7590
0.3197,1.7553
0.3205,1.7590
