Время[с],Напряжение[В]
0.0007,1.7367
0.0013,1.7367
0.0020,1.7367
0.0026,1.7404
0.0033,1.7404
0.0040,1.7404
0.0047,1.7404
0.0054,1.7404
0.0062,1.7404
0.0070,1.7330
0.0078,1.7404
0.0086,1.7404
0.0094,1.7367
0.0102,1.7404
0.0110,1.7367
0.0118,1.7367
0.0126,1.7367
0.0133,1.7367
0.0140,1.7404
0.0148,1.7404
0.0155,1.7330
0.0162,1.7367
0.0169,1.7293
0.0176,1.7367
0.0184,1.7330
0.0191,1.7330
0.0198,1.7404
0.0263,1.7404
0.0270,1.7404
0.0277,1.7367
0.0284,1.7404
0.0291,1.7404
0.0298,1.7404
0.0306,1.7404
0.0313,1.7404
0.0320,1.7367
0.0327,1.7404
0.0334,1.7404
0.0341,1.7404
0.0349,1.7404
0.0357,1.7404
0.0364,1.7367
0.0371,1.7367
0.0378,1.7367
0.0385,1.7404
0.0393,1.7367
0.0404,1.7330
0.0411,1.7293
0.0418,1.7330
0.0426,1.7404
0.0433,1.7367
0.0439,1.7330
0.0446,1.7404
0.0453,1.7367
0.0460,1.7293
0.0466,1.7367
0.0473,1.7404
0.0480,1.7404
0.0486,1.7367
0.0493,1.7330
0.0500,1.7404
0.0507,1.7367
0.0514,1.7404
0.0523,1.7367
0.0531,1.7330
0.0539,1.7367
0.0546,1.7293
0.0553,1.7367
0.0560,1.7367
0.0567,1.7367
0.0572,1.7404
0.0578,1.7404
0.0584,1.7404
0.0589,1.7404
0.0595,1.7404
0.0600,1.7330
0.0606,1.7367
0.0611,1.7293
0.0617,1.7404
0.0623,1.7367
0.0628,1.7404
0.0634,1.7293
0.0639,1.7330
0.0645,1.7367
0.0650,1.7404
0.0656,1.7330
0.0662,1.7367
0.0668,1.7330
0.0674,1.7404
0.0680,1.7404
0.0685,1.7367
0.0691,1.7404
0.0697,1.7404
0.0702,1.7367
0.0708,1.7404
0.0714,1.7367
0.0720,1.7367
0.0725,1.7404
0.0731,1.7367
0.0737,1.7404
0.0742,1.7330
0.0748,1.7330
0.0753,1.7367
0.0759,1.7330
0.0765,1.7404
0.0770,1.7404
0.0776,1.7367
0.0782,1.7367
0.0788,1.7367
0.0795,1.7404
0.0802,1.7404
0.0809,1.7330
0.0816,1.7367
0.0822,1.7367
0.0829,1.7367
0.0835,1.7293
0.0841,1.7404
0.0848,1.7404
0.0854,1.7367
0.0861,1.7330
0.0868,1.7367
0.0874,1.7404
0.0881,1.7404
0.0887,1.7330
0.0894,1.7367
0.0900,1.7367
0.0907,1.7404
0.0914,1.7404
0.0921,1.7330
0.0927,1.7404
0.0933,1.7367
0.0939,1.7367
0.0945,1.7293
0.0951,1.7367
0.0956,1.7404
0.0962,1.7404
0.0969,1.7367
0.0976,1.7367
0.0983,1.7367
0.0991,1.7404
0.0998,1.7330
0.1004,1.7404
0.1011,1.7367
0.1017,1.7367
0.1024,1.7367
0.1030,1.7404
0.1037,1.7367
0.1043,1.7404
0.1050,1.7404
0.1057,1.7404
0.1064,1.7404
0.1070,1.7367
0.1076,1.7367
0.1081,1.7367
0.1088,1.7293
0.1094,1.7404
0.1102,1.7404
0.1109,1.7293
0.1116,1.7404
0.1123,1.7330
0.1130,1.7367
0.1138,1.7330
0.1145,1.7367
0.1152,1.7404
0.1160,1.7367
0.1167,1.7367
0.1174,1.7367
0.1181,1.7367
0.1188,1.7367
0.1196,1.7404
0.1203,1.7404
0.1210,1.7404
0.1218,1.7367
0.1225,1.7404
0.1232,1.7404
0.1239,1.7367
0.1246,1.7330
0.1254,1.7367
0.1261,1.7293
0.1269,1.7404
0.1276,1.7367
0.1283,1.7367
0.1290,1.7404
0.1297,1.7404
0.1304,1.7367
0.1312,1.7404
0.1319,1.7330
0.1326,1.7367
0.1333,1.7293
0.1341,1.7404
0.1348,1.7367
0.1355,1.7367
0.1362,1.7367
0.1370,1.7367
0.1377,1.7367
0.1384,1.7293
0.1391,1.7330
0.1398,1.7404
0.1405,1.7404
0.1412,1.7367
0.1419,1.7367
0.1426,1.7404
0.1434,1.7367
0.1441,1.7367
0.1448,1.7367
0.1455,1.7330
0.1463,1.7404
0.1470,1.7367
0.1477,1.7293
0.1484,1.7367
0.1491,1.7367
0.1498,1.7330
0.1506,1.7404
0.1513,1.7330
0.1521,1.7441
0.1528,1.7330
0.1536,1.7404
0.1543,1.7293
0.1550,1.7367
0.1558,1.7330
0.1565,1.7367
0.1573,1.7404
0.1580,1.7330
0.1587,1.7404
0.1594,1.7367
0.1600,1.7367
0.1607,1.7367
0.1613,1.7330
0.1620,1.7404
0.1626,1.7367
0.1633,1.7367
0.1639,1.7367
0.1646,1.7367
0.1653,1.7404
0.1660,1.7330
0.1666,1.7367
0.1673,1.7367
0.1679,1.7367
0.1686,1.7367
0.1693,1.7367
0.1699,1.7367
0.1706,1.7367
0.1713,1.7367
0.1723,1.7330
0.1733,1.7293
0.1741,1.7367
0.1750,1.7367
0.1761,1.7330
0.1771,1.7367
0.1778,1.7330
0.1786,1.7367
0.1794,1.7367
0.1803,1.7404
0.1811,1.7330
0.1820,1.7367
0.1828,1.7367
0.1836,1.7367
0.1844,1.7367
0.1853,1.7404
0.1861,1.7404
0.1869,1.7367
0.1876,1.7404
0.1884,1.7367
0.1892,1.7404
0.1900,1.7367
0.1908,1.7404
0.1915,1.7293
0.1922,1.7330
0.1929,1.7404
0.1936,1.7404
0.1943,1.7367
0.1950,1.7367
0.1958,1.7404
0.1965,1.7330
0.1971,1.7404
0.1978,1.7367
0.1985,1.7367
0.1992,1.7404
0.2000,1.7367
0.2007,1.7404
0.2014,1.7367
0.2021,1.7404
0.2028,1.7404
0.2035,1.7404
0.2042,1.7367
0.2049,1.7404
0.2056,1.7367
0.2063,1.7367
0.2071,1.7330
0.2078,1.7367
0.2085,1.7330
0.2092,1.7404
0.2099,1.7367
0.2106,1.7367
0.2114,1.7330
0.2121,1.7404
0.2129,1.7367
0.2136,1.7404
0.2143,1.7367
0.2150,1.7404
0.2157,1.7330
0.2165,1.7404
0.2173,1.7367
0.2181,1.7367
0.2188,1.7404
0.2197,1.7367
0.2207,1.7367
0.2216,1.7404
0.2226,1.7330
0.2234,1.7404
0.2243,1.7404
0.2252,1.7404
0.2262,1.7404
0.2270,1.7404
0.2278,1.7404
0.2286,1.7367
0.2293,1.7404
0.2302,1.7367
0.2310,1.7367
0.2318,1.7330
0.2325,1.7367
0.2333,1.7330
0.2340,1.7404
0.2348,1.7367
0.2355,1.7404
0.2363,1.7293
0.2370,1.7404
0.2378,1.7404
0.2385,1.7404
0.2392,1.7404
0.2400,1.7404
0.2407,1.7404
0.2415,1.7367
0.2423,1.7293
0.2430,1.7367
0.2438,1.7293
0.2445,1.7404
0.2452,1.7330
0.2459,1.7367
0.2466,1.7367
0.2473,1.7367
0.2481,1.7367
0.2487,1.7367
0.2494,1.7367
0.2503,1.7404
0.2512,1.7367
0.2520,1.7330
0.2530,1.7367
0.2669,1.7404
0.2677,1.7367
0.2686,1.7330
0.2694,1.7367
0.2702,1.7367
0.2711,1.7367
0.2718,1.7330
0.2725,1.7367
0.2732,1.7367
0.2743,1.7330
0.2754,1.7293
0.2763,1.7404
0.2773,1.7367
0.2783,1.7330
0.2791,1.7330
0.2799,1.7367
0.2807,1.7293
0.2816,1.7367
0.2824,1.7404
0.2832,1.7367
0.2840,1.7367
0.2848,1.7330
0.2856,1.7367
0.2863,1.7367
0.2871,1.7404
0.2878,1.7330
0.2886,1.7293
0.2893,1.7367
0.2900,1.7367
0.2908,1.7330
0.2916,1.7367
0.2924,1.7367
0.2931,1.7367
0.2938,1.7367
0.2945,1.7367
0.2953,1.7330
0.2960,1.7367
0.2968,1.7367
0.2975,1.7367
0.2982,1.7404
0.2989,1.7367
0.2996,1.7367
0.3004,1.7367
0.3011,1.7367
0.3018,1.7367
0.3026,1.7293
0.3033,1.7367
0.3040,1.7330
0.3047,1.7367
0.3054,1.7367
0.3062,1.7367
0.3069,1.7367
0.3076,1.7293
0.3083,1.7367
0.3090,1.7367
0.3097,1.7330
0.3104,1.7367
0.3111,1.7367
0.3118,1.7367
0.3125,1.7367
0.3133,1.7330
0.3140,1.7367
0.3147,1.7367
0.3154,1.7330
0.3161,1.7330
0.3168,1.7367
0.3175,1.7404
0.3182,1.7404
0.3189,1.7293
0.3196,1.7367
0.3203,1.7330
0.3210,1.7293
0.3217,1.7367
0.3225,1.7367
0.3232,1.7367
0.3240,1.7404
0.3247,1.7367
0.3254,1.7367
0.3261,1.7293
0.3268,1.7367
